query,before_retrieved_sources,after_retrieved_sources,changed
Что такое подзапрос?,"sql_07, sql_09, sql_03","sql_07, sql_09, sql_12",False
что делает ORDER BY?,"sql_03, sql_11, sql_07","sql_03, sql_11, sql_13",False
Что такое нормализация баз данных?,"sql_01, sql_10","sql_01, sql_10",False
Для чего нужен JOIN?,sql_06,sql_06,False
Что такое индекс в базе данных?,"sql_08, sql_01","sql_08, sql_01",False
Зачем нужны транзакции?,"sql_09, sql_01","sql_09, sql_13",False
Что делает GROUP BY?,"sql_05, sql_06","sql_05, sql_06",False
Что такое оконные функции?,"sql_11, sql_04","sql_11, sql_04, sql_12",False
Что такое представление VIEW?,"sql_06, sql_01",sql_12,True
Зачем нужны хранимые процедуры?,"sql_10, sql_09",sql_13,True
